word,pinyin,definition
一一,yi1 yi1,one by one/one after another
是不是,shi4 bu4 shi4,is or isn't/yes or no/whether or not
有的是,you3 de5 shi4,have plenty of/there's no lack of
有的,you3 de5,(there are) some (who are...)/some (exist)
有人,you3 ren2,someone/people/anyone/there is someone there/occupied (as in restroom)
他人,ta1 ren2,another/sb else/other people
个人,ge4 ren2,individual/personal/oneself
我们,wo3 men5,we/us/ourselves/our
人们,ren2 men5,people
他们,ta1 men5,they
上来,shang4 lai2,to come up/to approach/(verb complement indicating success)
大大,da4 da4,greatly/enormously/(dialect) dad/uncle
大人,da4 ren5,adult/grownup/title of respect toward superiors
不大,bu4 da4,not very/not too/not often
人为,ren2 wei2,artificial/man-made/having human cause or origin/human attempt or effort
为人,wei2 ren2,to conduct oneself/behavior; conduct; personal character
为了,wei4 le5,for; for the purpose of; in order to
国有,guo2 you3,nationalized/public/government owned/state-owned
中国,Zhong1 guo2,China
大地,da4 di4,earth/mother earth
地上,di4 shang5,on the ground/on the floor
到来,dao4 lai2,to arrive/arrival; advent
来到,lai2 dao4,to come/to arrive
以上,yi3 shang4,that level or higher/that amount or more/the above-mentioned/(used to indicate that one has completed one's remarks) That is all.
以为,yi3 wei2,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)
以来,yi3 lai2,since (a previous event)
说不上,shuo1 bu5 shang4,to be unable to say or tell/to not be worth mentioning
一时,yi1 shi2,a period of time/a while/for a short while/temporary/momentary/at the same time
时不时,shi2 bu4 shi2,from time to time
时时,shi2 shi2,often/constantly
不时,bu4 shi2,from time to time/now and then/occasionally/frequently
要不是,yao4 bu5 shi4,if it were not for/but for
要不,yao4 bu4,otherwise/or else/how about...?/either... (or...)
不要,bu4 yao4,don't!/must not
要是,yao4 shi5,(coll.) if
就要,jiu4 yao4,will/shall/to be going to
就是说,jiu4 shi4 shuo1,in other words; that is
就是,jiu4 shi4,exactly; precisely/only; simply; just/(used correlatively with 也[ye3]) even; even if
就地,jiu4 di4,locally/on the spot
这就是说,zhe4 jiu4 shi4 shuo1,in other words/that is to say
出来,chu1 lai2,to come out/to appear/to arise
出国,chu1 guo2,to go abroad; to leave the country
国会,Guo2 hui4,Parliament (UK)/Congress (US)/Diet (Japan)/Legislative Yuan (Taiwan)
大会,da4 hui4,"general assembly/general meeting/convention/CL:個|个[ge4],屆|届[jie4]"
大有可为,da4 you3 ke3 wei2,with great prospects for the future (idiom); well worth doing
可是,ke3 shi4,but; however/(used for emphasis) indeed
可以,ke3 yi3,can/may/possible/able to/not bad/pretty good
可不是,ke3 bu5 shi4,that's just the way it is/exactly!
也就是说,ye3 jiu4 shi4 shuo1,in other words/that is to say/so/thus
你们,ni3 men5,you (plural)
不对,bu4 dui4,incorrect/wrong/amiss/abnormal/queer
出生,chu1 sheng1,to be born
一生,yi1 sheng1,all one's life; throughout one's life
人生,ren2 sheng1,life (one's time on earth)
可能,ke3 neng2,might (happen)/possible/probable/possibility/probability/maybe/perhaps/CL:個|个[ge4]
不能不,bu4 neng2 bu4,have to/cannot but
能人,neng2 ren2,"capable person/Homo habilis, extinct species of upright East African hominid"
时而,shi2 er2,occasionally/from time to time
而是,er2 shi4,rather
个子,ge4 zi5,height/stature/build/size
不得不,bu4 de2 bu4,have no choice or option but to/cannot but/have to/can't help it/can't avoid
不得了,bu4 de2 liao3,desperately serious/disastrous/extremely/exceedingly
得出,de2 chu1,to obtain (results)/to arrive at (a conclusion)
得以,de2 yi3,able to/so that sb can/enabling/in order to/finally in a position to/with sth in view
得到,de2 dao4,to get/to obtain/to receive
得了,de2 le5,all right!/that's enough!
出于,chu1 yu2,due to/to stem from
在于,zai4 yu2,to be in/to lie in/to consist in/to depend on/to rest with
大于,da4 yu2,greater than; bigger than; more than
对于,dui4 yu2,regarding; as far as (sth) is concerned; with regard to
于是,yu2 shi4,thereupon; as a result; consequently; thus; hence
有着,you3 zhe5,to have/to possess
以下,yi3 xia4,that level or lower/that amount or less/the following
下来,xia4 lai5,"to come down/(completed action marker)/(after verb of motion, indicates motion down and towards us, also fig.)/(indicates continuation from the past towards us)/to be harvested (of crops)/to be over (of a period of time)/to go among the masses (said of leaders)"
一下子,yi1 xia4 zi5,in a short while/all at once/all of a sudden
地下,di4 xia4,underground/subterranean/covert
上下,shang4 xia4,up and down/top and bottom/old and young/length/about
自以为是,zi4 yi3 wei2 shi4,to believe oneself infallible (idiom)/to be opinionated
自在,zi4 zai5,comfortable; at ease
来自,lai2 zi4,to come from (a place)/From: (in email header)
自我,zi4 wo3,self-/ego (psychology)
出自,chu1 zi4,to come from
之下,zhi1 xia4,under/beneath/less than
不了了之,bu4 liao3 liao3 zhi1,to settle a matter by leaving it unsettled/to end up with nothing definite
之一,zhi1 yi1,"one of (sth)/one out of a multitude/one (third, quarter, percent etc)"
之中,zhi1 zhong1,inside/among/in the midst of (doing sth)/during
中年,zhong1 nian2,middle age
来年,lai2 nian2,next year/the coming year
过年,guo4 nian2,to celebrate the Chinese New Year
不过,bu4 guo4,only/merely/no more than/but/however/anyway (to get back to a previous topic)/cannot be more (after adjectival)
过时,guo4 shi2,old-fashioned/out of date/to be later than the time stipulated or agreed upon
过于,guo4 yu2,too much/excessively
过来,guo4 lai2,to come over/to manage/to handle/to be able to take care of
发生,fa1 sheng1,to happen; to occur; to take place; to break out
自发,zi4 fa1,spontaneous
出发,chu1 fa1,to set off/to start (on a journey)
发出,fa1 chu1,"to issue (an order, decree etc); to send out; to dispatch/to produce (a sound); to let out (a laugh)"
过后,guo4 hou4,after the event
后来,hou4 lai2,afterwards; later/newly arrived
后年,hou4 nian2,the year after next
之后,zhi1 hou4,after; behind/(at the beginning of a sentence) afterwards; since then
以后,yi3 hou4,after/later/afterwards/following/later on/in the future
后人,hou4 ren2,later generation
发作,fa1 zuo4,to flare up; to break out
作对,zuo4 dui4,to set oneself against/to oppose/to make a pair
作出,zuo4 chu1,"to put out/to come up with/to make (a choice, decision, proposal, response, comment etc)/to issue (a permit, statement, explanation, apology, reassurance to the public etc)/to draw (conclusion)/to deliver (speech, judgment)/to devise (explanation)/to extract"
作为,zuo4 wei2,one's conduct/deed/activity/accomplishment/achievement/to act as/as (in the capacity of)/qua/to view as/to look upon (sth as)/to take sth to be
那里,na4 li5,there; that place
这里,zhe4 li3,variant of 這裡|这里[zhe4 li3]
用不着,yong4 bu5 zhao2,not need/have no use for
用得着,yong4 de5 zhao2,to be able to use; useable; to have a use for/(in a question) to be necessary to
不用说,bu4 yong4 shuo1,needless to say; it goes without saying
用来,yong4 lai2,to be used for
有用,you3 yong4,useful
作用,zuo4 yong4,"to act on/to affect/action/function/activity/impact/result/effect/purpose/intent/(suffix) -ation, -tion etc, as in 抑制作用[yi4 zhi4 zuo4 yong4], inhibition"
不用,bu4 yong4,need not
用人,yong4 ren2,servant/to employ sb for a job/to manage people/to be in need of staff
用于,yong4 yu2,to use in; to use on; to use for
大道,da4 dao4,main street/avenue
过道,guo4 dao4,passageway/corridor/aisle
一道,yi1 dao4,together
出道,chu1 dao4,to start one's career/(of an entertainer) to make one's debut
人道,ren2 dao4,"human sympathy/humanitarianism/humane/the ""human way"", one of the stages in the cycle of reincarnation (Buddhism)/sexual intercourse"
地道,di4 dao4,tunnel/causeway
说道,shuo1 dao4,to state/to say (the quoted words)
人行道,ren2 xing2 dao4,sidewalk
一行,yi1 xing2,party/delegation
行为,xing2 wei2,action/conduct/behavior/activity
出行,chu1 xing2,to go out somewhere (relatively short trip)/to set off on a journey (longer trip)
发行,fa1 xing2,"to publish/to issue (stocks, currency etc)/to release/to distribute (a film)"
行人,xing2 ren2,pedestrian/traveler on foot/passer-by/official responsible for arranging audiences with the emperor
不行,bu4 xing2,won't do/be out of the question/be no good/not work/not be capable
自行,zi4 xing2,voluntary/autonomous/by oneself/self-
可行,ke3 xing2,feasible
所作所为,suo3 zuo4 suo3 wei2,one's conduct and deeds
所在,suo3 zai4,place/location/(after a noun) place where it is located
所以,suo3 yi3,therefore/as a result/so/the reason why
有所,you3 suo3,somewhat/to some extent
所有,suo3 you3,all/to have; to possess; to own
之所以,zhi1 suo3 yi3,"(after a noun N and before a predicate P) the reason why N P/Example: 我之所以討厭他|我之所以讨厌他[wo3 zhi1 suo3 yi3 tao3 yan4 ta1] ""the reason why I dislike him (is ...)"""
要不然,yao4 bu4 ran2,otherwise/or else/or
自然而然,zi4 ran2 er2 ran2,involuntary/automatically
不以为然,bu4 yi3 wei2 ran2,not to accept as correct (idiom); to object/to disapprove/to take exception to
大自然,da4 zi4 ran2,nature (the natural world)
然后,ran2 hou4,then; after that; afterwards
自然,zi4 ran2,nature/natural/naturally
不然,bu4 ran2,not so/no/or else/otherwise/if not/How about ...?
然而,ran2 er2,however; yet; but
一家人,yi1 jia1 ren2,household/the whole family
家用,jia1 yong4,home-use/domestic/family expenses/housekeeping money
行家,hang2 jia1,connoisseur/expert/veteran
作家,zuo4 jia1,"author/CL:個|个[ge4],位[wei4]"
家里,jia1 li3,home
大家,da4 jia1,everyone/influential family/great expert
家人,jia1 ren2,family member/(old) servant
国家,guo2 jia1,country; nation; state/CL:個|个[ge4]
人家,ren2 jia1,"household/dwelling/family/sb else's house/household business/house of woman's husband-to-be/CL:戶|户[hu4],家[jia1]"
在家,zai4 jia1,to be at home/(at a workplace) to be in (as opposed to being away on official business 出差[chu1 chai1])/(Buddhism etc) to remain a layman (as opposed to becoming a monk or a nun 出家[chu1 jia1])
种子,zhong3 zi5,"seed/CL:顆|颗[ke1],粒[li4]"
种种,zhong3 zhong3,all kinds of
事后,shi4 hou4,after the event/in hindsight/in retrospect
有事,you3 shi4,to be occupied with sth/to have sth on one's mind/there is something the matter
人事,ren2 shi4,personnel/human resources/human affairs/ways of the world/(euphemism) sexuality/the facts of life
时事,shi2 shi4,current trends; the present situation; how things are going
出事,chu1 shi4,to have an accident/to meet with a mishap
大事,da4 shi4,"major event/major political event (war or change of regime)/major social event (wedding or funeral)/(do sth) in a big way/CL:件[jian4],樁|桩[zhuang1]"
成为,cheng2 wei2,to become; to turn into
成家,cheng2 jia1,to settle down and get married (of a man)/to become a recognized expert
不成,bu4 cheng2,won't do/unable to/(at the end of a rhetorical question) can that be?
生成,sheng1 cheng2,to generate/to produce/generated/produced
成人,cheng2 ren2,adult
成就,cheng2 jiu4,accomplishment/success/achievement/CL:個|个[ge4]/to achieve (a result)/to create/to bring about
对方,dui4 fang1,the other person; the other side; the other party
地方,di4 fang1,region/regional (away from the central administration)/local
